raw_payer	primaryPayerType	mapped_payer
GENERAL COVENTRY	OTHER	AETNA
COVENTRY	MEDICARE	AETNA
COVENTRY ADVANTAGE	COMMERCIAL	AETNA
CIGNA	COMMERCIAL	Cigna
MEDCO HOME DELIVERY	COMMERCIAL	ESI
UNITED HEALTH CARE PPO	OTHER	UNITED HEALTHCARE
MEDCO HOME DELIVERY	PBM	ESI
UHC	PBM	UNITED HEALTHCARE
BCBS PPO	OTHER	BLUE CROSS CAPITAL/CBC (PA)
UHC E AND I	PBM	UNITED HEALTHCARE
KEYSTONE	MEDICAID	KEYSTONE/AMERIHEALTH MERCY
OPTUMRX	OTHER	OptumRX
BLUE CROSS-DME	OTHER	BLUE CROSS AND BLUE SHIELD
OPTUM RX	OTHER	OPTUMRX
EXPRESS SCRIPTS	PBM	ESI
ANTHEM BC CA - BLUE CARD	COMMERCIAL	Anthem
UNICARE MANAGED CARE	MEDICAID	Anthem
AETNA	COMMERCIAL	AETNA
MEDIMPACT COMMERCIAL COB	COMMERCIAL	MEDIMPACT
CVS CAREMARK	OTHER	CVS Caremark
BCBS VA	COMMERCIAL	Anthem(VA)
UHC - COMMUNITY PLAN	OTHER	UNITED HEALTHCARE
HORIZON BCBS	COMMERCIAL	"HORIZON HEALTHCARE SERVICES, INC."
AETNA BETTER HEALTH - PENNSYLVANIA	COMMERCIAL	Aetna (PA)
BCBS MICHIGAN	COMMERCIAL	BCBS MICHIGAN (MI)
SXC HEALTH SOLUTIONS	PBM	UNITED HEALTHCARE
BCBS TEXAS	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
UHC CHOICE PLUS POS	OTHER	UNITED HEALTHCARE
CAREMARK	COMMERCIAL	CVS CAREMARK
MEDCO HEALTH	COMMERCIAL	ESI
CASH	CASH	Cash
BOSTON MED CTR HLTHNET PLAN	MEDICARE	"BOSTON MEDICAL CENTER HEALTH PLAN, INC."
PA MEDICAID	MEDICAID	MEDICAID (PA)
PRIME THERAPEUTICS	MEDICAID	PRIME THERAPEUTICS
GENERAL BCBS	OTHER	BLUE CROSS AND BLUE SHIELD
MEDCO HOME DELIVERY	MEDICAID	ESI
CAREMARK	OTHER	CVS CAREMARK
AMERIGROUP -ESI	MEDICAID	AMERIGROUP CORP/AMERICAID
INDEPENDENCE BLUE CROSS	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC
CVS CAREMARK	COMMERCIAL	CVS Caremark
AETNA HEALTHCARE	OTHER	AETNA
EXPRESS/MEDCO	OTHER	ESI
UHC C AND S	PBM	UNITED HEALTHCARE
BCBS CAREFIRST (MD)	COMMERCIAL	BCBS CAREFIRST (MD)
HEALTH PARTNERS PLANS	MEDICAID	Health Partners Plans
BLUE CROSS-DME	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
MEDCO HOME DELIVERY	GOVERNMENT	ESI
HIGHMARK	COMMERCIAL	Highmark
TRICARE - EXPRESS SCRIPTS	GOVERNMENT	TRICARE
BCBS MA (MEDCO)-EXPRESS SCRIPTS	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
PRIME THERAPEUTICS	OTHER	PRIME THERAPEUTICS
HORIZON BCBSNJ	COMMERCIAL	BCBS HORIZON (NJ)
UNITED HEALTHCARE COMMUNITY PLAN	MEDICAID	UNITED HEALTHCARE
BCBS TN	COMMERCIAL	BCBS TENNESSEE (TN)
HORIZON NJ HEALTH	MEDICAID	BCBS HORIZON (NJ)
PRIME THERAPEUTICS	COMMERCIAL	PRIME THERAPEUTICS
BCBS ILLINOIS	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
EXPRESS SCRIPTS	OTHER	ESI
OXFORD	OTHER	UNITED HEALTHCARE
BCBS TENNESSEE (TN)	COMMERCIAL	BCBS TENNESSEE (TN)
GHI	COMMERCIAL	EMBLEMHEALTH
EXCELLUS BCBS	MEDICAID	BCBS EXCELLUS (NY)
REGENCE BLUE SHIELD	COMMERCIAL	REGENCE
GENERAL BCBS ALABAMA	OTHER	BCBS ALABAMA (AL)
SILVERSCRIPT	OTHER	SILVERSCRIPT
BCBS FLORIDA	COMMERCIAL	BCBS FLORIDA (FL)
BCBS NORTH CAROLINA (NC)	COMMERCIAL	BCBS NORTH CAROLINA (NC)
CASH PAY PATIENT	COMMERCIAL	Other
HIGHMARK BLUE CROSS BLUE SHIELD	COMMERCIAL	HIGHMARK
EXPRESS SCRIPTS	COMMERCIAL	ESI
BCBS HIGHMARK (PA)	COMMERCIAL	BCBS HIGHMARK (PA) 
AETNA	OTHER	AETNA
EXCELLUS BCBS	COMMERCIAL	BCBS EXCELLUS (NY)
BCBS MA (MEDCO)-EXPRESS SCRIPTS	PBM	BLUE CROSS MASSACHUSETTS (MA)
BCBS NORTH CAROLINA	COMMERCIAL	BCBS NORTH CAROLINA (NC)
WELLPOINT	PBM	ANTHEM
TENNCARE	MEDICAID	MEDICAID (TN)
OPUS	COMMERCIAL	OPUS HLTH INFO SYS UNSPEC
MEDCO	COMMERCIAL	ESI
BCBS ILLINOIS	MEDICAID	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS HORIZON (NJ)	COMMERCIAL	BCBS HORIZON (NJ)
HEALTHNOW NEW YORK INC	COMMERCIAL	BCBS/BS/HEALTH NOW NEW YORK (NY)
BLUE CARD OF MARYLAND	COMMERCIAL	BCBS CAREFIRST (MD)
AETNA (PA)	COMMERCIAL	Aetna (PA)
PREMERA / LIFEWISE	COMMERCIAL	PREMERA
OPTUMRX	PBM	OptumRX
UNITED HEALTHCARE	COMMERCIAL	UNITED HEALTHCARE
MEDCO VDZ	OTHER	ESI
BLUE CARD OF MD	COMMERCIAL	BCBS CAREFIRST (MD)
BCBS ALABAMA	COMMERCIAL	BCBS ALABAMA (AL)
YOURCARE HEALTH OF NY - EXP SCRIPTS	MEDICAID	BCBS EXCELLUS (NY)
CVS CAREMARK	MEDICAID	CVS Caremark
CAPITAL BLUECROSS	COMMERCIAL	BLUE CROSS CAPITAL/CBC (PA)
FIDELIS CARE	MEDICAID	FIDELIS CARE NEW YORK (NY) 
TRICARE	COMMERCIAL	TRICARE
CASH	OTHER	Cash
BCBS OKLAHOMA	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (OK)
UHC C AND S	MEDICARE	UNITED HEALTHCARE
MEDCO	OTHER	ESI
GENERAL EXCELLUS	OTHER	BCBS EXCELLUS (NY)
OXFORD	PBM	UNITED HEALTHCARE
BCBS HMO	OTHER	BLUE CROSS AND BLUE SHIELD
NEW YORK MEDICAID	MEDICAID	MEDICAID (NY)
PRIME	OTHER	PRIME THERAPEUTICS
CAREMARK FORMERLY ADVANCED PCS	PBM	CVS CAREMARK
ILLINOIS MEDICAID	OTHER	MEDICAID (IL)
ANTHEM PRESC MGMT - EXPRESS SCRIPTS	PBM	Anthem
FLORIDA BLUE	COMMERCIAL	BCBS FLORIDA (FL)
BCBS RHODE ISLAND	COMMERCIAL	BCBS RHODE ISLAND (RI)
ESI	OTHER	ESI
AETNA BETTER HEALTH	OTHER	AETNA
HORIZON BC NEW JERSEY	COMMERCIAL	BCBS HORIZON (NJ)
CATALYST RX	PBM	Catalyst(Unspecified)
MEDICAID	MEDICAID	MEDICAID
BCBS NC	COMMERCIAL	BCBS NORTH CAROLINA (NC)
FLORIDA BLUE BCBS	OTHER	BCBS FLORIDA (FL)
BLUE CROSS MASSACHUSETTS (MA)	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
BCBS MASSACHUSETTS	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
EXPRESS SCRIPTS	GOVERNMENT	ESI
FIDELIS	MEDICAID	FIDELIS CARE NEW YORK (NY) 
AETNA (FL)	COMMERCIAL	Aetna (FL)
TRICARE	GOVERNMENT	TRICARE
HIGHMARK DELAWARE MEDICAID	OTHER	MEDICAID (DE)
CAREMARK	MEDICAID	CVS CAREMARK
CENTENE(OH)	COMMERCIAL	Centene(OH)
GENERAL ESI / MEDCO	OTHER	ESI
HEALTH NET INC. (CA)	COMMERCIAL	HEALTH NET INC. (CA)
HISC-BCBS OF ILLINOIS - PRIME THERA	MEDICARE	BCBS HEALTHCARE SERVICE CORP (IL)
TENNESSEE MEDICAID	MEDICAID	MEDICAID (TN)
BLUECROSS BLUESHIELD OF ILLINOIS	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
HORIZON	COMMERCIAL	BCBS HORIZON (NJ)
CAREMARK	MEDICARE	CVS CAREMARK
MERIDIAN HLTH IL	MEDICAID	Meridian Health Plan (IL)
UHC C AND S	MEDICAID	UNITED HEALTHCARE
GEISINGER HEALTH PLAN (PA)	COMMERCIAL	GEISINGER HEALTH PLAN (PA)
FIDELIS CARE	COMMERCIAL	FIDELIS CARE NEW YORK (NY) 
OTHER	MEDICAID	OTHER
HNJH	COMMERCIAL	BCBS HORIZON (NJ)
BCBS CAREFIRST (MD)	OTHER	BCBS CAREFIRST (MD)
BCBS NEW MEXICO	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (NM)
CVS/CAREMARK	OTHER	CVS Caremark
GATEWAY HEALTH PLAN	COMMERCIAL	Gateway Health Plan
